training time,lambda,theta,mu,minimum error
100,0.9850750445494817,0.007405684692262442,1e-09,0.003675570937952629
200,0.9925943153077376,0.01492495545051832,1e-09,0.0002748035618648053
150,0.9850750445494817,0.1221677348996793,1e-06,0.0011486532754832652
250,0.9963253380592633,0.03007882518043102,1e-15,0.00013368334166746068
300,0.9925943153077376,0.03007882518043102,1e-11,6.76761811166533e-05
