training time,lambda,theta,mu,minimum error
100,0.9925943153077376,2.015337685941735e-07,1e-11,0.004928506536870979
200,0.9990952642757651,0.06061898993497572,0.01,0.0018131480759385008
150,0.9850750445494817,0.0018233480008684423,1e-11,0.0025581332418343717
250,0.9990952642757651,8.185467307069021e-07,1e-09,0.0018675967881329326
300,0.9981766519991315,0.0001105295141126022,1e-05,0.0010403795982774284
