training time,lambda,theta,mu,minimum error
100,0.9925943153077376,0.03007882518043102,1e-12,0.0015204163236195317
150,0.9925943153077376,0.03007882518043102,1e-11,5.8905442737605786e-05
200,0.9925943153077376,0.003674661940736688,1e-11,5.983552925406296e-07
250,0.9963253380592633,0.003674661940736688,1e-10,2.8791096350048116e-07
300,0.9963253380592633,0.01492495545051832,1e-08,1.91048079319088e-08
