Validation,Best Parameters,Minimum Error
"[300, 500, 500]","[0.9850750445494817, 5.4844165761210265e-05, 1e-10, 0.0]",0.0052082898530776975
"[100, 500, 500]","[0.9850750445494817, 5.4844165761210265e-05, 1e-10, 0.0]",0.0052082898530776975
"[200, 500, 500]","[0.9850750445494817, 5.4844165761210265e-05, 1e-10, 0.0]",0.0052082898530776975
"[500, 500, 500]","[0.9990952642757651, 0.1221677348996793, 0.1, 0.0]",0.0023456697842804673
"[1000, 500, 500]","[0.9981766519991315, 0.1221677348996793, 0.1, 0.0]",0.0008784621294434044
"[1500, 500, 500]","[0.9850750445494817, 0.1221677348996793, 9.999999999999999e-06, 0.0]",5.560886393088332e-05
"[2000, 500, 500]","[0.9850750445494817, 0.1221677348996793, 1e-09, 0.0]",7.542003201006603e-08
