Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.9850750445494817, 0.06061898993497572, 0.01, 0.0]",0.008952843978649414
"[500, 500, 500]","[0.9850750445494817, 0.06061898993497572, 0.01, 0.0]",0.005114239653722616
"[1000, 500, 500]","[0.9850750445494817, 0.00022275429519995587, 1e-11, 0.0]",0.003266596643916435
"[1500, 500, 500]","[0.9925943153077376, 0.003674661940736688, 1e-08, 0.0]",0.0030513580584657965
"[2000, 500, 500]","[0.9925943153077376, 3.324597932270945e-06, 1e-11, 0.0]",0.002537098914939563
