training time,lambda,theta,mu,minimum error
100,0.9990952642757651,1e-07,1e-09,0.012549680902996232
150,0.9999932998124965,0.1221677348996793,1e-11,0.012134649027216029
200,0.9999727866123163,0.1221677348996793,0.1,0.007364450715005668
250,0.9981766519991315,0.0009047357242349302,0.001,0.007247232776479375
300,0.9981766519991315,0.00044892512582186077,0.001,0.005502179469822274
