Validation,Best Parameters,Minimum Error
"[500, 500, 500]","[0.969921174819569, 0.03007882518043102, 9.999999999999999e-06, 0.0]",6.183259205844126e-07
"[1000, 500, 500]","[0.969921174819569, 0.0018233480008684423, 1e-10, 0.0]",3.2933367536696314e-07
"[1500, 500, 500]","[0.969921174819569, 0.0009047357242349302, 1e-11, 0.0]",7.76142730637533e-08
"[2000, 500, 500]","[0.9963253380592633, 0.03007882518043102, 0.001, 0.0]",1.6296418322990727e-07
