Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.9850750445494817, 0.03007882518043102, 0.1, 0.0]",0.016524783868500374
"[500, 500, 500]","[0.9925943153077376, 0.007405684692262442, 0.001, 0.0]",0.0032037806326104504
"[1000, 500, 500]","[0.9925943153077376, 0.00044892512582186077, 1e-08, 0.0]",0.0016311529848710947
"[1500, 500, 500]","[0.9963253380592633, 0.0018233480008684423, 0.0001, 0.0]",0.0005120607314141731
"[2000, 500, 500]","[0.9963253380592633, 0.00044892512582186077, 1e-07, 0.0]",0.00022185546100279849
