Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.7537907598505369, 8.18546730706902e-07, 1e-13, 0.0]",5.4000849692901115e-06
"[500, 500, 500]","[0.969921174819569, 1e-07, 1e-10, 0.0]",2.4631069715323625e-06
"[1000, 500, 500]","[0.9850750445494817, 8.18546730706902e-07, 1e-11, 0.0]",1.3027618521618504e-06
"[1500, 500, 500]","[0.9925943153077376, 0.03007882518043102, 0.01, 0.0]",8.079577819903952e-07
"[2000, 500, 500]","[0.9990952642757651, 1e-07, 1e-08, 0.0]",4.2937442794477155e-07
