Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.9850750445494817, 6.70018750350959e-06, 1e-09, 0.0]",0.009629429043278381
"[500, 500, 500]","[0.9963253380592633, 0.00044892512582186077, 0.001, 0.0]",0.004434675015654818
"[1000, 500, 500]","[0.9850750445494817, 0.01492495545051832, 1e-06, 0.0]",0.004109624525738177
"[1500, 500, 500]","[0.9850750445494817, 0.00044892512582186077, 1e-11, 0.0]",0.0028940821611261984
"[2000, 500, 500]","[0.9925943153077376, 0.0001105295141126022, 1e-11, 0.0]",0.0015401786689989315
