Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.969921174819569, 0.0018233480008684423, 1e-06, 0.0]",0.01428809427845011
"[500, 500, 500]","[0.969921174819569, 0.00022275429519995587, 1e-09, 0.0]",0.008348791543541874
"[1500, 500, 500]","[0.9963253380592633, 3.324597932270945e-06, 1e-10, 0.0]",0.005514065172540545
