training time,lambda,theta,mu,minimum error
100,0.9963253380592633,0.0009047357242349302,0.1,0.011552423768989234
150,0.9981766519991315,0.007405684692262442,0.1,0.00737996877073244
200,0.9981766519991315,0.01492495545051832,0.1,0.005634881895686804
250,0.9925943153077376,5.4844165761210265e-05,1e-09,0.0037491758891683284
300,0.9981766519991315,0.00022275429519995587,1e-07,0.004778672917389566
