Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.969921174819569, 1e-07, 1e-11, 0.0]",9.328517969938716e-06
"[500, 500, 500]","[0.5038052396997093, 0.06061898993497572, 1e-08, 0.0]",6.170493723756192e-06
"[1000, 500, 500]","[0.9990952642757651, 1e-07, 1e-08, 0.0]",1.5227162312739344e-06
"[1500, 500, 500]","[0.9850750445494817, 0.00022275429519995587, 1e-11, 0.0]",1.1188330149126283e-06
"[2000, 500, 500]","[0.9925943153077376, 0.00044892512582186077, 1e-10, 0.0]",6.709393108896361e-07
