Validation,Best Parameters,Minimum Error
"[500, 500, 500]","[0.9850750445494817, 0.06061898993497572, 1e-09, 0.0]",1.1801192812140342e-07
"[200, 500, 500]","[0.9850750445494817, 0.00044892512582186077, 1e-07, 0.0]",0.0005605294732838972
"[100, 500, 500]","[0.9850750445494817, 0.00044892512582186077, 1e-07, 0.0]",0.0005605294732838972
"[300, 500, 500]","[0.9850750445494817, 0.00044892512582186077, 1e-07, 0.0]",0.0005605294732838972
