Validation,Best Parameters,Minimum Error
"[200, 500, 500]","[0.9999932998124965, 1e-07, 1e-06, 0.0]",0.032751789160557945
"[500, 500, 500]","[0.9850750445494817, 0.0001105295141126022, 1e-09, 0.0]",0.019514998363003907
"[1000, 500, 500]","[0.9925943153077376, 1.3503140378698721e-05, 1e-09, 0.0]",0.006721070070090313
"[1500, 500, 500]","[0.9925943153077376, 1.3503140378698721e-05, 1e-10, 0.0]",0.0031011773800652537
"[2000, 500, 500]","[0.9963253380592633, 1.6496480740980207e-06, 1e-10, 0.0]",0.0016453199602981022
